Comment,Designator,Footprint,LCSC Part #
"proteus","BRD1","proteus",""
"100n","C1","C0603","C14663"
"47p","C2","C0603","C1671"
"100n","C3","C0603","C14663"
"47p","C4","C0603","C1671"
"D_Schottky","D1","D_SMA","C8678"
"D_Schottky","D2","D_SMA","C8678"
"D_Schottky","D3","D_SMA","C8678"
"D_Schottky","D4","D_SMA","C8678"
"D_Schottky","D5","D_SMA","C8678"
"Fuse-Pad-Pad","F1","PAD-1206-PAD","C182446"
"Fuse-Pad-Pad","F2","PAD-1206-PAD","C182446"
"10A","F3","36911600000","C354908"
"10A","F4","36911600000","C354908"
"10A","F5","36911600000","C354908"
"10A","F6","36911600000","C354908"
"10A","F7","36911600000","C354908"
"10A","F8","36911600000","C354908"
"RUSEFI_LOGO","G1","rusefi_logo",""
"PROTO_AREA","G2","PROTO_AREA",""
"PROTO_AREA","G3","PROTO_AREA",""
"PROTO_AREA","G4","PROTO_AREA",""
"PROTO_AREA","G5","PROTO_AREA",""
"PROTO_AREA","G6","PROTO_AREA",""
"PROTO_AREA","G7","PROTO_AREA",""
"PROTO_AREA","G8","PROTO_AREA",""
"Conn_01x01","J1","MountingHole_3.5mm",""
"Conn_01x01","J2","MountingHole_3.5mm",""
"Conn_01x06","J3","PinHeader_1x06_P2.54mm_Vertical",""
"Conn_01x01","J4","MountingHole_5.5mm",""
"Conn_01x01","J5","MountingHole_5.5mm",""
"Conn_01x01","J7","TestPoint_Pad_D4.0mm",""
"7-967288-1","J9","TE_7-967288-1",""
"XH-10AW","J10","JST_XH_S10B-XH-A_1x10_P2.50mm_Horizontal","C14652"
"Module:can/0.1","M2","can",""
"Module:wbo/0.3","M3","wbo",""
"Pad","P1","PAD-TH",""
"Pad","P2","PAD-TH",""
"Pad","P3","PAD-TH",""
"Pad","P4","PAD-TH",""
"Pad","P5","PAD-TH",""
"Pad","P6","PAD-TH",""
"Pad","P7","PAD-TH",""
"Pad","P8","PAD-TH",""
"Pad","P9","PAD-TH",""
"Pad","P10","PAD-TH",""
"Pad","P11","PAD-TH",""
"Pad","P12","PAD-TH",""
"Pad","P13","PAD-TH",""
"Pad","P14","PAD-TH",""
"Pad","P15","PAD-TH",""
"Pad","P16","PAD-TH",""
"Pad","P17","PAD-TH",""
