Designator,Mid X,Mid Y,Layer,Rotation,Ref-X(mm),Ref-Y(mm)
BRD1,158.750001mm,116.425000mm,Top,180.0,158.750001mm,116.425000mm
C1,44.702000mm,23.514001mm,Top,-90.0,44.702000mm,23.514001mm
C2,48.302000mm,26.714001mm,Top,90.0,48.302000mm,26.714001mm
C3,74.100000mm,25.800000mm,Top,-90.0,74.100000mm,25.800000mm
C4,76.600000mm,31.400000mm,Top,90.0,76.600000mm,31.400000mm
D1,113.000000mm,128.500000mm,Top,90.0,113.000000mm,128.500000mm
D2,109.000000mm,128.500000mm,Top,90.0,109.000000mm,128.500000mm
D3,99.000000mm,128.500000mm,Top,90.0,99.000000mm,128.500000mm
D4,89.500000mm,128.500000mm,Top,90.0,89.500000mm,128.500000mm
D5,79.800000mm,128.500000mm,Top,90.0,79.800000mm,128.500000mm
F1,140.500000mm,128.500000mm,Top,-90.0,140.500000mm,128.500000mm
F2,64.000000mm,129.000000mm,Top,-90.0,64.000000mm,129.000000mm
F3,31.000000mm,121.500000mm,Top,-90.0,31.000000mm,121.500000mm
F4,26.000000mm,121.500000mm,Top,-90.0,26.000000mm,121.500000mm
F5,51.000000mm,121.500000mm,Top,-90.0,51.000000mm,121.500000mm
F6,41.000000mm,121.500000mm,Top,-90.0,41.000000mm,121.500000mm
F7,46.000000mm,121.500000mm,Top,-90.0,46.000000mm,121.500000mm
F8,36.000000mm,121.500000mm,Top,-90.0,36.000000mm,121.500000mm
G1,174.020000mm,15.240000mm,Top,90.0,174.020000mm,15.240000mm
G2,175.290000mm,100.330000mm,Top,90.0,175.290000mm,100.330000mm
G3,167.670000mm,100.330000mm,Top,90.0,167.670000mm,100.330000mm
G4,160.050000mm,100.330000mm,Top,90.0,160.050000mm,100.330000mm
G5,167.670000mm,113.030000mm,Top,90.0,167.670000mm,113.030000mm
G6,175.290000mm,92.710000mm,Top,180.0,175.290000mm,92.710000mm
G7,160.050000mm,113.030000mm,Top,90.0,160.050000mm,113.030000mm
G8,175.290000mm,113.030000mm,Top,90.0,175.290000mm,113.030000mm
J3,132.950000mm,31.750000mm,Top,90.0,132.950000mm,31.750000mm
J9,91.350000mm,151.681000mm,Top,0.0,91.350000mm,151.681000mm
J10,80.150000mm,18.350000mm,Top,0.0,80.150000mm,18.350000mm
M2,158.188337mm,14.237502mm,Top,90.0,158.188337mm,14.237502mm
M3,147.620000mm,28.825000mm,Top,180.0,147.620000mm,28.825000mm
P1,144.000000mm,130.000000mm,Top,0.0,144.000000mm,130.000000mm
P2,136.500000mm,125.500000mm,Top,0.0,136.500000mm,125.500000mm
P3,147.000000mm,130.000000mm,Top,0.0,147.000000mm,130.000000mm
P4,136.500000mm,130.000000mm,Top,0.0,136.500000mm,130.000000mm
P5,131.500000mm,118.000000mm,Top,180.0,131.500000mm,118.000000mm
P6,128.500000mm,121.000000mm,Top,0.0,128.500000mm,121.000000mm
P7,119.500000mm,121.000000mm,Top,0.0,119.500000mm,121.000000mm
P8,116.500000mm,121.000000mm,Top,0.0,116.500000mm,121.000000mm
P9,131.500000mm,121.000000mm,Top,0.0,131.500000mm,121.000000mm
P10,128.500000mm,125.500000mm,Top,0.0,128.500000mm,125.500000mm
P11,125.500000mm,125.500000mm,Top,0.0,125.500000mm,125.500000mm
P12,122.500000mm,125.500000mm,Top,0.0,122.500000mm,125.500000mm
P13,119.500000mm,125.500000mm,Top,0.0,119.500000mm,125.500000mm
P14,116.500000mm,125.500000mm,Top,0.0,116.500000mm,125.500000mm
P15,131.500000mm,125.500000mm,Top,0.0,131.500000mm,125.500000mm
P16,128.500000mm,130.000000mm,Top,0.0,128.500000mm,130.000000mm
P17,125.500000mm,130.000000mm,Top,0.0,125.500000mm,130.000000mm
P18,122.500000mm,130.000000mm,Top,0.0,122.500000mm,130.000000mm
P19,119.500000mm,130.000000mm,Top,0.0,119.500000mm,130.000000mm
P20,116.500000mm,130.000000mm,Top,0.0,116.500000mm,130.000000mm
P21,131.500000mm,130.000000mm,Top,0.0,131.500000mm,130.000000mm
P22,105.500000mm,121.000000mm,Top,0.0,105.500000mm,121.000000mm
P23,105.500000mm,118.000000mm,Top,180.0,105.500000mm,118.000000mm
P24,99.000000mm,122.000000mm,Top,0.0,99.000000mm,122.000000mm
P25,93.000000mm,130.000000mm,Top,0.0,93.000000mm,130.000000mm
P26,86.000000mm,125.500000mm,Top,0.0,86.000000mm,125.500000mm
P27,83.000000mm,125.500000mm,Top,0.0,83.000000mm,125.500000mm
P28,79.500000mm,112.000000mm,Top,0.0,79.500000mm,112.000000mm
P29,113.000000mm,122.000000mm,Top,0.0,113.000000mm,122.000000mm
P30,105.500000mm,125.500000mm,Top,0.0,105.500000mm,125.500000mm
P31,79.500000mm,118.000000mm,Top,180.0,79.500000mm,118.000000mm
P32,79.500000mm,121.000000mm,Top,0.0,79.500000mm,121.000000mm
P33,105.500000mm,130.000000mm,Top,0.0,105.500000mm,130.000000mm
P34,86.000000mm,130.000000mm,Top,0.0,86.000000mm,130.000000mm
P35,83.000000mm,130.000000mm,Top,0.0,83.000000mm,130.000000mm
P36,76.000000mm,118.000000mm,Top,180.0,76.000000mm,118.000000mm
P37,73.000000mm,121.000000mm,Top,0.0,73.000000mm,121.000000mm
P38,70.000000mm,125.500000mm,Top,0.0,70.000000mm,125.500000mm
P39,67.000000mm,118.000000mm,Top,180.0,67.000000mm,118.000000mm
P40,64.000000mm,118.000000mm,Top,0.0,64.000000mm,118.000000mm
P41,76.000000mm,121.000000mm,Top,0.0,76.000000mm,121.000000mm
P42,67.000000mm,121.000000mm,Top,0.0,67.000000mm,121.000000mm
P43,64.000000mm,122.500000mm,Top,0.0,64.000000mm,122.500000mm
P44,64.000000mm,113.500000mm,Top,0.0,64.000000mm,113.500000mm
P45,61.000000mm,122.500000mm,Top,0.0,61.000000mm,122.500000mm
P46,58.000000mm,121.000000mm,Top,0.0,58.000000mm,121.000000mm
P47,55.000000mm,121.000000mm,Top,0.0,55.000000mm,121.000000mm
