Ref,Val,Package,PosX,PosY,Rot,Side
"BRD1","proteus","proteus",158.750001,116.425000,180.000000,top
"C1","100n","C0603",44.702000,23.514001,-90.000000,top
"C2","47p","C0603",48.302000,26.714001,90.000000,top
"C3","100n","C0603",74.100000,25.800000,-90.000000,top
"C4","47p","C0603",76.600000,31.400000,90.000000,top
"D1","D_Schottky","D_SMA",113.000000,128.500000,90.000000,top
"D2","D_Schottky","D_SMA",109.000000,128.500000,90.000000,top
"D3","D_Schottky","D_SMA",99.000000,128.500000,90.000000,top
"D4","D_Schottky","D_SMA",89.500000,128.500000,90.000000,top
"D5","D_Schottky","D_SMA",79.800000,128.500000,90.000000,top
"F1","Fuse-Pad-Pad","PAD-1206-PAD",140.500000,128.500000,-90.000000,top
"F2","Fuse-Pad-Pad","PAD-1206-PAD",64.000000,129.000000,-90.000000,top
"F3","10A","36911600000",31.000000,121.500000,-90.000000,top
"F4","10A","36911600000",26.000000,121.500000,-90.000000,top
"F5","10A","36911600000",51.000000,121.500000,-90.000000,top
"F6","10A","36911600000",41.000000,121.500000,-90.000000,top
"F7","10A","36911600000",46.000000,121.500000,-90.000000,top
"F8","10A","36911600000",36.000000,121.500000,-90.000000,top
"G1","RUSEFI_LOGO","rusefi_logo",174.020000,15.240000,90.000000,top
"G2","PROTO_AREA","PROTO_AREA",175.290000,100.330000,90.000000,top
"G3","PROTO_AREA","PROTO_AREA",167.670000,100.330000,90.000000,top
"G4","PROTO_AREA","PROTO_AREA",160.050000,100.330000,90.000000,top
"G5","PROTO_AREA","PROTO_AREA",167.670000,113.030000,90.000000,top
"G6","PROTO_AREA","PROTO_AREA",175.290000,92.710000,180.000000,top
"G7","PROTO_AREA","PROTO_AREA",160.050000,113.030000,90.000000,top
"G8","PROTO_AREA","PROTO_AREA",175.290000,113.030000,90.000000,top
"J3","Conn_01x06","PinHeader_1x06_P2.54mm_Vertical",132.950000,31.750000,90.000000,top
"J9","7-967288-1","TE_7-967288-1",91.350000,151.681000,0.000000,top
"J10","XH-10AW","JST_XH_S10B-XH-A_1x10_P2.50mm_Horizontal",80.150000,18.350000,0.000000,top
"M2","Module-can-0.1","can",158.188337,14.237502,90.000000,top
"M3","Module-wbo-0.3","wbo",147.620000,28.825000,180.000000,top
"P1","Pad","PAD-TH",144.000000,130.000000,0.000000,top
"P2","Pad","PAD-TH",136.500000,125.500000,0.000000,top
"P3","Pad","PAD-TH",147.000000,130.000000,0.000000,top
"P4","Pad","PAD-TH",136.500000,130.000000,0.000000,top
"P5","Pad","PAD-TH",131.500000,118.000000,180.000000,top
"P6","Pad","PAD-TH",128.500000,121.000000,0.000000,top
"P7","Pad","PAD-TH",119.500000,121.000000,0.000000,top
"P8","Pad","PAD-TH",116.500000,121.000000,0.000000,top
"P9","Pad","PAD-TH",131.500000,121.000000,0.000000,top
"P10","Pad","PAD-TH",128.500000,125.500000,0.000000,top
"P11","Pad","PAD-TH",125.500000,125.500000,0.000000,top
"P12","Pad","PAD-TH",122.500000,125.500000,0.000000,top
"P13","Pad","PAD-TH",119.500000,125.500000,0.000000,top
"P14","Pad","PAD-TH",116.500000,125.500000,0.000000,top
"P15","Pad","PAD-TH",131.500000,125.500000,0.000000,top
"P16","Pad","PAD-TH",128.500000,130.000000,0.000000,top
"P17","Pad","PAD-TH",125.500000,130.000000,0.000000,top
"P18","Pad","PAD-TH",122.500000,130.000000,0.000000,top
"P19","Pad","PAD-TH",119.500000,130.000000,0.000000,top
"P20","Pad","PAD-TH",116.500000,130.000000,0.000000,top
"P21","Pad","PAD-TH",131.500000,130.000000,0.000000,top
"P22","Pad","PAD-TH",105.500000,121.000000,0.000000,top
"P23","Pad","PAD-TH",105.500000,118.000000,180.000000,top
"P24","Pad","PAD-TH",99.000000,122.000000,0.000000,top
"P25","Pad","PAD-TH",93.000000,130.000000,0.000000,top
"P26","Pad","PAD-TH",86.000000,125.500000,0.000000,top
"P27","Pad","PAD-TH",83.000000,125.500000,0.000000,top
"P28","Pad","PAD-TH",79.500000,112.000000,0.000000,top
"P29","Pad","PAD-TH",113.000000,122.000000,0.000000,top
"P30","Pad","PAD-TH",105.500000,125.500000,0.000000,top
"P31","Pad","PAD-TH",79.500000,118.000000,180.000000,top
"P32","Pad","PAD-TH",79.500000,121.000000,0.000000,top
"P33","Pad","PAD-TH",105.500000,130.000000,0.000000,top
"P34","Pad","PAD-TH",86.000000,130.000000,0.000000,top
"P35","Pad","PAD-TH",83.000000,130.000000,0.000000,top
"P36","Pad","PAD-TH",76.000000,118.000000,180.000000,top
"P37","Pad","PAD-TH",73.000000,121.000000,0.000000,top
"P38","Pad","PAD-TH",70.000000,125.500000,0.000000,top
"P39","Pad","PAD-TH",67.000000,118.000000,180.000000,top
"P40","Pad","PAD-TH",64.000000,118.000000,0.000000,top
"P41","Pad","PAD-TH",76.000000,121.000000,0.000000,top
"P42","Pad","PAD-TH",67.000000,121.000000,0.000000,top
"P43","Pad","PAD-TH",64.000000,122.500000,0.000000,top
"P44","Pad","PAD-TH",64.000000,113.500000,0.000000,top
"P45","Pad","PAD-TH",61.000000,122.500000,0.000000,top
"P46","Pad","PAD-TH",58.000000,121.000000,0.000000,top
"P47","Pad","PAD-TH",55.000000,121.000000,0.000000,top
